800xA Property,FilesMod,Mod Property,Rule
AIN_ProcHi,AINPUT,ENG_UP_BND,2 3
AIN_ProcLo,AINPUT,ENGLOWBND,2 3
EngUnits,LOOP_DEF,MEAS_UNITS,
ProcessHi,LOOP_DEF,HIENGUNLIM,
ProcessLo,LOOP_DEF,LOENGUNLIM,
AlmDB,LOOP_DEF,ENGU_ALMDB,4
HiEnable,LOOP_DEF,EN_HI_ALM,5
HiHiEnable,LOOP_DEF,ENHIHI_ALM,5
HiHiLimit,LOOP_DEF,HIHI_LIMIT,2 3
HiHiPriority,LOOP_DEF,HIHIALMPRI,6
HiLimit,LOOP_DEF,HI_LIMIT,2 3
HiPriority,LOOP_DEF,HI_ALM_PRI,6
LoEnable,LOOP_DEF,ENLOLO_ALM,5
LoLimit,LOOP_DEF,LO_LIMIT,2 3
LoLoEnable,LOOP_DEF,EN_LO_ALM,5
LoLoLimit,LOOP_DEF,LOLO_LIMIT,2
LoLoPriority,LOOP_DEF,LOLOALMPRI,6
LoPriority,LOOP_DEF,LO_ALM_PRI,6
OpLimitsHi,LOOP_DEF,HIENGUNLIM,
OpLimitsLo,LOOP_DEF,LOENGUNLIM,
TrendHi,LOOP_DEF,HIENGUNLIM,
Description,LOOP_DEF,LOOP_DESC,
TrendLo,LOOP_DEF,LOENGUNLIM,
